Question,A,B,C,D,Correct,Owner,Person,Type,Status
Which company would most likely benefit from a Group Benefits review?,A SME struggling with employee retention and rising medical claims,A tuition centre looking for new classroom furniture,A café owner sourcing coffee beans,A wedding planner looking for photographers,A,Team Henry,Henry Goh,,
Which conversation is the BEST referral opportunity for Group Benefits?,“We need help planning a company dinner.”,“We are looking for cheaper office printers.”,“We want to redesign our company logo.”,“Our staff keep comparing employee benefits with competitors.”,D,Team Henry,Henry Goh,,
Which situation would most likely create an opportunity to introduce Temweld?,A factory manager says they need more welding machines for a new project,A workshop owner says he is looking for cheaper work uniforms,A contractor says he needs to rent a forklift,A business owner says he wants to renovate his office,A,Team Henry,Dexton Lim,,
Which service below is the main focus of Temweld’s welding business?,On-site welding repair services,Sales and rental of welding machines and welding consumables,Industrial painting and sandblasting,Steel fabrication for residential gates,B,Team Henry,Dexton Lim,,
What cuisine does YENNEY Restaurant specialise in?,Southern Thai Cuisine,Northern Vietnamese Cuisine,Japanese Omakase,Korean BBQ,B,Team Henry,Crystal Nguyen,,
Which customer group would be the BEST referral for YENNEY Restaurant?,CBD professionals looking for business lunches or client dining,Customers searching for drive-thru fast food,Children looking for arcade cafés,Customers looking for pet cafés,A,Team Henry,Crystal Nguyen,,
Who are NOT good fit referrals for AKA2?,Small office,HDB flat,Construction sites,Old folks homes,B,Team Henry,Jason Long,,
What CANNOT a CCTV system do?,Count how many people walk past an area,Detect shoplifting automatically in a retail store,Open gates/doors for recognised vehicles or humans,Record and replay conversations,B,Team Henry,Jason Long,,
Which situation can refer HR Guru SG?,Looking to hire nanny / confinement lady,Construction workers,Service / Manufacturing workers,All the above,C,Team Henry,Joshua Teo,,
Your customer is looking for part-timers or ad-hoc promoters. Is this a good referral to HR Guru SG?,"Yes, any business is good business","Yes, local contacts is my USP","No, I only do Foreign General Manpower","No, but can supply Malaysians / Construction workers instead",C,Team Henry,Joshua Teo,,
What kind of profiles for residential windows and doors does Zi Hao specialise in?,Standard,Heavy Duty,European,UPVC,C,Team Stacey,Zi Hao,,
Which type of client does Zi Hao work least with,Hotel Management,MCST,Home Owners,Designers,D,Team Stacey,Zi Hao,,
Which of the following is NOT one of Rae's target customers?,Family-owned businesses with retiring owners with no successors and no buyers,Sole proprietors,Property developers,F&B and retail businesses looking to exit,B,Team Stacey,Rae,,
Which of the following clients will NOT have engage Rae’s service?,“My business is doing well and I want to exit by selling it”,“I am stressed out by the finances and want to cut my losses”,“My business partner and I have agreed to split and close the business”,“My company has ceased operations and I cannot zero-rise the accounts”,A,Team Stacey,Rae,,
What is the FIRST thing Nicholas fixes BEFORE touching any marketing?,The advertising budget,Brand positioning and narrative clarity,Diagnose & optimise the sales funnel’s conversion rate,The company’s pricing strategy,C,Team Stacey,Nic,,
"Nicholas works with business owners across 3 stages — each with a different focus. Which stage is about driving growth through efficiency, talent, and engagement?",Stabilise,Sell,Scale,Sustain,C,Team Stacey,Nic,,
How does Bili educate his prospective clients on the profitability of their campaign?,Send them a research report,Provide them with pre-campaign estimates on results,Tell them which marketing channel works best,Analyse their ad accounts,B,Team Stacey,Bili,,
What type of clients does Bili NOT work with?,Clients with budget below $2k/month,E-commerce businesses,Clients with unrealistic expectations,Micro SMEs,C,Team Stacey,Bili,,
Which of the following is an investment type that Stacey can offer?,Forex,Unit Trust,Hedge Fund,Crypto,B,Team Stacey,Stacey,,
Which of the following best describes Stacey’s investment philosophy?,"Make high returns, high risk","Make consistent returns, minimise loss",Any kind of investment is good,"Buy term, invest the rest",B,Team Stacey,Stacey,,
"An event agency is executing a high-profile launch and requires custom structures, large-format visuals, and precise on-site setup. Which of the following BEST reflects what Hakim can offer?",Acting as a print vendor to produce artwork files provided by the agency,Serving as a backend production partner handling printing and installation,"Managing the full campaign, including creative direction and event strategy",Coordinating third-party vendors to fulfil different parts of the project,B,Team William,Hakim,,
"A brand is running multiple campaigns throughout the year, each requiring retail displays and event setups with consistent quality and fast turnaround. Which of the following BEST reflects what Hakim can offer?",A cost-efficient supplier focused on producing materials at scale,A one-stop partner ensuring consistency through in-house production and execution,A creative agency responsible for ideation and branding direction,A logistics provider specialising in delivery and setup coordination,B,Team William,Hakim,,
